ID,Phase,Priority,Area,Task,Impact,Effort,Dependencies,Acceptance criterion
P0-001,0,Critical,Architecture,"Map generator, templates, data flow and deployment",Very high,M,None,Architecture docs identify source-of-truth and generation path
P0-002,0,Critical,Content model,Implement typed page-family schema,Very high,L,P0-001,Build rejects records missing required family/jurisdiction/source fields
P0-003,0,Critical,QA,Build contamination linter,Very high,L,P0-002,Known garden-room/dropped-kerb leakage fixtures fail
P0-004,0,Critical,Sources,Create normalized source registry,Very high,L,P0-001,Sources have authority/type/status/last checked
P0-005,0,Critical,Templates,Restrict template inputs by family,Very high,L,P0-002,Generic pages cannot receive assumed project
P0-006,0,Critical,Content,Audit all current URLs for contamination,Very high,L,P0-003,CSV report with keep/repair/noindex/redirect/410
P0-007,0,Critical,Trust,Remove placeholder/demo UI,High,S,None,No live demo ad/form/partner placeholders
P0-008,0,Critical,Trust,Replace undocumented reviewer identity,High,S,None,Every reviewer/person is real and documented
P0-009,0,Critical,SEO,Synchronize visible/schema/sitemap dates,High,M,P0-002,Automated date consistency test passes
P0-010,0,Critical,SEO,Create central URL registry,Very high,L,P0-001,"Canonicals, links, breadcrumbs and sitemaps use registry"
P0-011,0,Critical,SEO,Build redirect/noindex/410 plan,Very high,L,P0-006,No redirect chains; topical equivalents only
P0-012,0,Critical,QA,Create 20-URL canary set and snapshots,Very high,M,P0-001,All page families represented
P0-013,0,Critical,Sources,Repair Colchester sample family,Very high,M,"P0-004,P0-005",No garden-room/dropped-kerb leakage; correct sources
P0-014,0,High,Repository,Audit repository bloat and generated assets,High,M,P0-001,Large-file report and safe remediation proposal
P0-015,0,Critical,CI,Add Phase 0 build gates,Very high,L,P0-002..013,CI fails on contamination/source/URL/schema defects
P1-001,1,High,Frontend,Extract shared CSS into versioned assets,High,L,P0 complete,Duplicate page CSS removed; cacheable assets
P1-002,1,High,Frontend,Extract shared core JavaScript,High,L,P0 complete,Only required modules load by page type
P1-003,1,High,UX,Simplify navigation around user tasks,High,M,P0 complete,Start/check/council/track/updates/projects are clear
P1-004,1,High,Search,Implement internal search and filters,High,L,URL registry,Typo-tolerant task search; zero-results tracked
P1-005,1,High,Content,Repair top 100 landing pages,Very high,XL,P0 audit,All meet page standard and sources
P1-006,1,Medium,Schema,Use page-type-specific structured data,Medium,M,P0 schema,No generic CollectionPage on every page
P1-007,1,High,Performance,Add performance budgets,High,M,Shared assets,CI reports HTML/JS/CWV lab metrics
P1-008,1,High,Analytics,Document event taxonomy and funnels,High,M,None,No duplicate events or sensitive notes
P1-009,1,Medium,UX,Reduce repeated CTA/trust blocks,Medium,M,Templates,One primary next action per page
P1-010,1,High,Accessibility,WCAG 2.2 AA remediation,High,L,Templates,No critical/serious canary findings
P2-001,2,High,Workspace,Design multi-project data model,Very high,M,P0 complete,Entities and migrations documented
P2-002,2,High,Workspace,Migrate existing local storage safely,Very high,L,P2-001,Existing saved data retained
